zi,freq,weight
e,1925464.0,0.004306378631116667
a,1822398.0,0.0040758673257925105
o,1485001.0,0.003321265198199957
i,1435697.0,0.0032109947947914397
r,1384693.0,0.003096922272167556
n,1378515.0,0.0030831049236307675
t,1111282.0,0.0024854274387600037
l,990361.0,0.002214982698970915
s,938877.0,0.0020998366368038678
u,680539.0,0.001522053181592336
h,645638.0,0.0014439956741008413
c,578075.0,0.0012928882737785633
m,576253.0,0.0012888132965959752
d,550916.0,0.0012321460645019953
g,365423.0,0.0008172834176689598
p,325894.0,0.0007288751997488062
y,321916.0,0.0007199782407848463
f,298946.0,0.0006686049005630867
b,261217.0,0.0005842224559297927
k,245223.0,0.0005484512237353295
v,189698.0,0.00042426730053928273
w,183289.0,0.00040993331109734734
z,146707.0,0.000328116178664069
x,91841.0,0.00020540613579915585
j,31360.0,7.013791681995544e-05
q,21248.0,4.752201711066369e-05
