zi,freq,weight
的,10150790.0,0.022702655123623582
年,4178421.0,0.0093452086905853
一,3236285.0,0.007238083167591502
在,3209116.0,0.007177318592907785
为,3112144.0,0.006960436766700363
是,2854079.0,0.006383263887104005
中,2820531.0,0.0063082324191998
国,2764188.0,0.0061822190056989475
人,2668016.0,0.005967126412063464
于,2265303.0,0.005066442391135061
大,2134946.0,0.004774893653159968
有,2110146.0,0.0047194274434299004
和,1746009.0,0.0039050202171203303
以,1645394.0,0.0036799906730884493
月,1563547.0,0.003496936525194224
日,1545677.0,0.003456969542618567
后,1522368.0,0.003404838015094449
了,1466071.0,0.0032789274824664826
学,1465063.0,0.003276673049425841
时,1438778.0,0.0032178855767341146
个,1415213.0,0.003165181494786977
会,1367723.0,0.003058968176235329
地,1340724.0,0.0029985838134731486
成,1294718.0,0.002895689521342445
公,1250139.0,0.0027959867728119345
上,1244927.0,0.0027843299226057608
不,1223307.0,0.002735975912349146
出,1180849.0,0.002641016866674986
行,1157686.0,0.0025892118740952464
他,1152010.0,0.0025765172689973487
部,1140469.0,0.0025507053526064327
斯,1132684.0,0.0025332938831407656
之,1081650.0,0.002419154264295434
与,1075051.0,0.002404395332117663
区,1067909.0,0.00238842195833169
名,1045114.0,0.0023374400127350423
发,1018760.0,0.002278498218733986
其,1016579.0,0.002273620323434741
主,1015304.0,0.0022707687340232157
作,1000364.0,0.00223735481574228
生,987659.0,0.0022089395659591953
尔,982962.0,0.0021984345342212067
分,974233.0,0.002178911770320652
方,968107.0,0.0021652107219010397
下,931954.0,0.0020843530654344627
西,930043.0,0.0020800790361282465
用,925001.0,0.0020688023978436103
到,923143.0,0.0020646469051952845
第,914945.0,0.002046311744414354
位,884999.0,0.001979336296165298
而,884226.0,0.0019776074501926632
家,883869.0,0.001976809005157436
军,874246.0,0.001955286773857741
由,873712.0,0.0019540924611159733
及,873620.0,0.0019538866993702
里,868565.0,0.0019425809860562691
被,835009.0,0.001867531625826345
并,831672.0,0.00186006828946065
本,828010.0,0.001851878077362605
民,826752.0,0.0018490645091432333
法,823418.0,0.0018416078823996836
南,818747.0,0.0018311610007202823
这,806639.0,0.0018040809657440067
市,805368.0,0.0018012383224953407
来,800657.0,0.0017907019791873425
长,800006.0,0.0017892459911819285
同,790025.0,0.0017669230783062915
可,778706.0,0.0017416076739540888
多,776105.0,0.0017357904315545767
政,768638.0,0.0017190901820362534
对,766563.0,0.0017144493600527902
子,762552.0,0.0017054785952452382
自,737473.0,0.0016493883906557078
任,736009.0,0.0016461140950490619
动,732789.0,0.001638912433947013
开,724959.0,0.0016214003201491733
特,724514.0,0.001620405059531033
文,720381.0,0.00161116143675626
北,717183.0,0.0016040089795499395
高,698981.0,0.0015632994654569284
加,698129.0,0.001561393932767815
东,695867.0,0.0015563348776706613
德,693463.0,0.0015509582337919884
最,690736.0,0.0015448591872623961
海,689036.0,0.0015410570680470285
新,687653.0,0.0015379639322382914
克,680914.0,0.0015228918843604314
台,680871.0,0.00152279571310969
员,678246.0,0.0015169247937330196
也,671120.0,0.0015009872045984851
前,669522.0,0.0014974132125360395
代,669304.0,0.0014969256466601866
等,666510.0,0.0014906767519026944
利,665837.0,0.001489171560001552
亚,665130.0,0.0014875903257161019
平,665059.0,0.0014874315313253429
所,660658.0,0.0014775885156389707
三,648710.0,0.001450866327177082
面,643377.0,0.0014389388555444027
经,640655.0,0.001432850991718385
度,640362.0,0.0014321956852889131
道,638654.0,0.001428375673747826
电,638458.0,0.001427937311767701
因,636535.0,0.0014236364439729062
现,634738.0,0.0014196173803081912
此,634678.0,0.0014194831878652956
得,631443.0,0.001412247978652523
建,631073.0,0.0014114204585880018
美,627139.0,0.0014026219074154984
进,625866.0,0.0013997747910854028
物,625043.0,0.001397934118077022
过,616498.0,0.0013788228776680132
要,614750.0,0.0013749134044983293
机,608531.0,0.0013610043577922289
间,601565.0,0.0013454246151720821
内,600834.0,0.001343789703909474
教,599124.0,0.0013399652192869571
山,595512.0,0.001331886834224659
至,588448.0,0.0013160879106144494
事,587258.0,0.0013134264271636926
小,583824.0,0.00130574614634865
立,583212.0,0.0013043773834311178
